Company,Reported_Amount,Extracted_Amount,Amount_Difference,Amount_Difference_Percentage,Reported_Round,Extracted_Round,Round_Match,Confidence_Score,Verification_Status,Matches,Mismatches,News_URL,Analysis_Date
BIOVIT,0.329208,,,,SEED,,False,0.0,unverified,,,https://sfccapital.com/portfolio,2025-03-11 21:37:28
NoPalm Ingredients,0.0,,,,SEED,,False,0.0,unverified,,,https://www.gaapvc.com/participants,2025-03-11 21:37:28
Ucaneo,0.0,,,,SEED,,False,0.0,unverified,,,https://www.granthamfoundation.org/investing/,2025-03-11 21:37:28
Madmonq,0.0,,,,SEED,,False,0.0,unverified,,,https://www.soulmatesventures.com/case/madmonq/,2025-03-11 21:37:28
Folks Finance,0.0,,,,SEED,,False,0.0,unverified,,,https://majinx.io/portfolio/,2025-03-11 21:37:28
JustParent,1.584,1.4,0.18400000000000016,11.616161616161627,SEED,Pre-Seed,False,0.0,unverified,,"amount, round_type",https://www.thesaasnews.com/news/harriet-raises-1-4-million-in-pre-seed-round,2025-03-11 21:37:28
1Control srl,1.1,1.0,0.10000000000000009,9.090909090909099,EARLY VC,Seed,False,0.5,unverified,amount,round_type,https://bebeez.it/venture-capital/1control-incassa-round-da-un-mln-euro-guidato-da-cdp-venture-capital-sgr/,2025-03-11 21:37:28
Footbar,3.3,601.0,597.7,18112.121212121216,EARLY VC,Not specified in the provided news article,False,0.0,unverified,,"amount, round_type",https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2023/,2025-03-11 21:37:28
LeaseTeq,7.333334,8.0,0.6666660000000002,9.090899173554623,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://www.startupticker.ch/en/news/leaseteq-raises-chf8-million-to-digitize-leasing,2025-03-11 21:37:28
DentalPro,1.953552,130.0,128.046448,6554.545156719658,LATE VC,Not specified,False,0.0,unverified,,"amount, round_type",https://gadgetonus.com/hot-news/150067.html,2025-03-11 21:37:28
RTI Blockchain,2.75,2.5,0.25,9.090909090909092,SEED,Not specified,False,0.5,unverified,amount,round_type,https://siliconcanals.com/crowdfunding/rti-blockchain-raises-2-5m/,2025-03-11 21:37:28
Keepz,1.8,,,,SEED,,False,0.0,unverified,,,https://forbes.ge/en/skillwill-and-keepz-head-to-london-tech-week/,2025-03-11 21:37:28
Zeely,0.0,,,,SEED,,False,0.0,unverified,,,https://network.vc/portfolio/,2025-03-11 21:37:28
Kindred,4.0,,,,SERIES A,,False,0.0,unverified,,,https://timesofindia.indiatimes.com/city/chennai/among-global-giants-of-turbines-passion-drives-their-local-dream/articleshow/102067464.cms,2025-03-11 21:37:28
EHOSS,1.1,,,,SEED,,False,0.0,unverified,,,https://www.eu-startups.com/2023/05/10-slovakian-startups-to-keep-an-eye-on-in-2023-and-beyond/,2025-03-11 21:37:28
TLDraw,2.0,2.0,0.0,0.0,SEED,Insiders' extension round,False,0.5,unverified,amount,round_type,https://tldraw.substack.com/p/tldraw-raised-another-2m,2025-03-11 21:37:28
Proxisense,1.32,,,,SERIES A,,False,0.0,unverified,,,https://parkwalkadvisors.com/portfolio/proxisense/,2025-03-11 21:37:28
ELEXIR,2.86,2.6,0.2599999999999998,9.090909090909085,SEED,Seed,True,1.0,verified,"amount, round_type",,https://www.veecle.io/news/2023-11-28-seed/,2025-03-11 21:37:28
Pandobac,0.32626,1.5,1.17374,359.75602280389876,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.processalimentaire.com/emballage/pandobac-leve-1-5-million-d-euros-pour-accelerer-son-developpement,2025-03-11 21:37:28
Term Stucture Lab,4.3,4.25,0.04999999999999982,1.1627906976744147,SEED,Series Seed,False,0.5,unverified,amount,round_type,https://www.newswire.ca/news-releases/term-structure-secured-an-initial-funding-of-usd-4-25-million-in-a-series-seed-fundraising-round-with-cumberland-drw-leading-the-investment-848362654.html,2025-03-11 21:37:28
Mettle,3.3,,,,SEED,,False,0.0,unverified,,,https://www.msn.com/en-gb/money/other/bear-grylls-backed-mental-health-app-shows-mettle-with-25m-raise/ar-AA1ksKdm,2025-03-11 21:37:28
Uzaje,12.1,175.0,162.9,1346.280991735537,SERIES B,Not specified,False,0.0,unverified,,"amount, round_type",https://www.maddyness.com/2023/11/17/maddymoney-175-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:37:28
Skynet Technology,16.5,,,,EARLY VC,,False,0.0,unverified,,,https://legalcommunity.it/russo-de-rosa-con-fondo-italiano-dinvestimento-per-loperazione-skynet/,2025-03-11 21:37:28
Deepsense.ai,0.748,0.68,0.06799999999999995,9.090909090909085,SEED,Pre-seed,False,0.5,unverified,amount,round_type,https://www.eu-startups.com/2023/11/warsaw-based-holi-raises-e680k-pre-seed-to-spearhead-an-holistic-approach-to-metabolic-health/,2025-03-11 21:37:28
Killwatt,4.4,,,,EARLY VC,,False,0.0,unverified,,,https://www.angelone.in/blog/tvs-motor-e-mobility-expansion-a-closer-look,2025-03-11 21:37:28
WELMO.,0.91707,,,,SEED,,False,0.0,unverified,,,https://infonet.fr/actualite/levees-de-fonds/financement-welmo-agence-en-ligne/,2025-03-11 21:37:28
Smarter Diagnostics,0.72,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.linkedin.com/posts/pawellipkowski_so-sunfish-partners-has-invested-in-smarter-activity-6981352730858532864-f0MQ/?trk=public_profile_like_view,2025-03-11 21:37:28
Maad,0.0,,,,SEED,,False,0.0,unverified,,,https://www.venturesplatform.com/portfolio,2025-03-11 21:37:28
Avataris,1.2,1.0,0.19999999999999996,16.666666666666664,SEED,Seed,True,0.5,unverified,round_type,amount,https://fastercapital.com/news/based-in-austria-fintech-avataris-is-raising-1m-with-fastercapital.html,2025-03-11 21:37:28
Momint,1.3,1.25,0.050000000000000044,3.8461538461538494,SEED,Not specified,False,0.5,unverified,amount,round_type,https://afrikanheroes.com/2023/10/12/south-african-digital-asset-platform-momint-attracts-1-25m-in-investor-support/,2025-03-11 21:37:28
Rad Propulsion,0.0,,,,SEED,,False,0.0,unverified,,,https://techeast.com/uk-based-robotics-ai-and-automation-companies-to-benefit-from-british-robotics-scale-up-fund-deployment/,2025-03-11 21:37:28
BladeBUG,0.0,,,,SEED,,False,0.0,unverified,,,https://techeast.com/uk-based-robotics-ai-and-automation-companies-to-benefit-from-british-robotics-scale-up-fund-deployment/,2025-03-11 21:37:28
OxDrive,3.08,,,,SEED,,False,0.0,unverified,,,https://labsoflatvia.com/en/news/ox-drive-attracts-e2-8-million-to-expand-fleet-of-electric-cars,2025-03-11 21:37:28
X-BOLT Orthopedics,3.5,3.5,0.0,0.0,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.businesspost.ie/tech/x-bolt-orthopaedics-secures-3-5m-from-backers/,2025-03-11 21:37:28
Adverttu,3.96,3.0,0.96,24.242424242424242,SERIES A,Not specified,False,0.0,unverified,,"amount, round_type",https://bdaily.co.uk/articles/2023/10/24/media-agency-raises-3m-to-revolutionise-ooh-advertising-with-novel-concept,2025-03-11 21:37:28
BrandShield,3.4,3.38,0.020000000000000018,0.5882352941176475,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.webwire.com/ViewPressRel.asp?aId=313014,2025-03-11 21:37:28
Tribo Games,0.0,,,,SEED,Not specified in the provided news article,False,0.0,unverified,,round_type,https://medium.com/@Tribo_Games/tribo-games-secures-investment-and-partners-with-merit-circle-7be729eee174,2025-03-11 21:37:28
F-Reg,2.2,140.7,138.5,6295.454545454545,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://www.maddyness.com/2023/10/13/maddymoney-1357-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:37:28
Intouch,1.65,1.5,0.1499999999999999,9.090909090909086,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.independent.ie/business/irish/irish-retail-media-tech-firm-intouch-raises-15m-for-global-growth-plan/a1323859492.html,2025-03-11 21:37:28
Narravero,2.2,2.0,0.20000000000000018,9.090909090909099,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.deutsche-startups.de/2023/10/04/dealmonitor-kranus-health-happyhotel/,2025-03-11 21:37:28
Ixcys,2.75,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2023/,2025-03-11 21:37:28
Inoqo,0.0,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2023/10/06/msh-kauft-german-autolabs-gutefrage-net-uebernimmt-motor-talk-ptc-kauft-pure-systems/,2025-03-11 21:37:28
Advanced Commerce,0.0,,,,SEED,,False,0.0,unverified,,,https://haatch.com/portfolio/advanced-commerce/,2025-03-11 21:37:28
Konfir Uk Ltd,2.64,,,,SEED,Not mentioned,False,0.0,unverified,,round_type,https://loveventures.co.uk/why-we-invested-in-konfir/,2025-03-11 21:37:28
Konfir Uk Ltd,2.64,,,,SEED,Not mentioned,False,0.0,unverified,,"amount, round_type",https://loveventures.co.uk/why-we-invested-in-konfir/,2025-03-11 21:37:28
Konfir Uk Ltd,2.112,1.6,0.512,24.242424242424242,SEED,Pre-Seed,False,0.0,unverified,,round_type,https://www.uktechnews.info/2022/03/15/konfir-uk-secures-1-6-million-pre-seed-investment-led-by-triple-point-ventures/,2025-03-11 21:37:28
Konfir Uk Ltd,2.112,1.6,0.512,24.242424242424242,SEED,Pre-Seed,False,0.0,unverified,,"amount, round_type",https://www.uktechnews.info/2022/03/15/konfir-uk-secures-1-6-million-pre-seed-investment-led-by-triple-point-ventures/,2025-03-11 21:37:28
Mindgard Ltd,3.96,3.0,0.96,24.242424242424242,SEED,Seed Funding,False,0.0,unverified,,"amount, round_type",https://www.lancaster.ac.uk/news/lancaster-university-spinout-mindgard-ltd-raises-3m-in-seed-funding,2025-03-11 21:37:28
Akiba Digital,0.0,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.av.vc/portfolio,2025-03-11 21:37:28
Honest Burgers,3.19,,,,SEED,,False,0.0,unverified,,,https://www.restaurantonline.co.uk/Article/2023/10/11/honest-burgers-smashes-crowdfunding-target,2025-03-11 21:37:28
Kelda Showers,2.904,,,,SERIES A,Not specified,False,0.0,unverified,,round_type,https://www.keldashowers.com/company-news/kelda-showers-secures-over-2-2-million-in-funding/,2025-03-11 21:37:28
PeopleSpheres,4.73,,,,LATE VC,,False,0.0,unverified,,,https://app.tudigo.co/equity/peoplespheres?utm_campaign=GS+-+Investir_Investissement&utm_term=peoplespheres&utm_medium=ppc&utm_source=adwords&hsa_grp=154142416758&hsa_ver=3&hsa_src=g&hsa_acc=8253627618&hsa_tgt=kwd-1021576234751&hsa_mt=p&hsa_net=adwords&hsa_cam=20181160311&hsa_ad=673355931098&hsa_kw=peoplespheres&gad_source=1,2025-03-11 21:37:28
Avantgarde,5.5,,,,SERIES A,,False,0.0,unverified,,,https://thefintechtimes.com/hub71-welcomes-23-startups-as-part-of-13th-cohort-and-strengthens-climatetech-focus/,2025-03-11 21:37:28
Timeline,13.2,10.0,3.1999999999999993,24.24242424242424,SERIES B,Not specified,False,0.0,unverified,,"amount, round_type",https://bdaily.co.uk/articles/2023/10/03/north-east-executives-celebrate-double-milestone-as-london-fintech-raises-10m,2025-03-11 21:37:28
Evertwine,1.2,,,,SEED,,False,0.0,unverified,,,https://www.globenewswire.com/news-release/2023/09/11/2741121/0/en/Introducing-the-new-and-improved-Evertwine-revamped-and-refueled.html,2025-03-11 21:37:28
Avoca Clinic,7.7,7.0,0.7000000000000002,9.090909090909092,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://businessplus.ie/ma/funding/bgf-the-avoca-clinic/,2025-03-11 21:37:28
Greenwood-Power,5.61,,,,EARLY VC,,False,0.0,unverified,,,https://www.deutsche-startups.de/2023/09/30/startupticker-39-2023/,2025-03-11 21:37:28
Hexis,0.066,,,,EARLY VC,,False,0.0,unverified,,,https://businesscloud.co.uk/news/baltic-ventures-accelerator-unveils-9-strong-first-cohort/,2025-03-11 21:37:28
Nanusens,0.0,,,,SERIES A,,False,0.0,unverified,,,https://www.eenewseurope.com/en/nanusens-starts-series-a-funding-round-with-ai-pitch/,2025-03-11 21:37:28
Nanusens,0.0,,,,SERIES A,,False,0.0,unverified,,,https://www.eenewseurope.com/en/nanusens-starts-series-a-funding-round-with-ai-pitch/,2025-03-11 21:37:28
Nanusens,0.581724,,,,SEED,,False,0.0,unverified,,,https://www.eenewseurope.com/en/nanusens-embeds-its-mems-sensors-in-digital-design-crowdfunds-for-development/,2025-03-11 21:37:28
Nanusens,0.581724,,,,SEED,,False,0.0,unverified,,,https://www.eenewseurope.com/en/nanusens-embeds-its-mems-sensors-in-digital-design-crowdfunds-for-development/,2025-03-11 21:37:28
Birl,0.066,,,,SEED,,False,0.0,unverified,,,https://businesscloud.co.uk/news/baltic-ventures-accelerator-unveils-9-strong-first-cohort/,2025-03-11 21:37:28
reasy,2.2,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2023/09/07/dealmonitor-leanix-gmh/,2025-03-11 21:37:28
Urban Canopee,2.97,291.4,288.42999999999995,9711.44781144781,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://www.maddyness.com/2023/09/29/maddymoney-2914-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:37:28
Urban Canopee,2.97,291.4,288.42999999999995,9711.44781144781,EARLY VC,Not specified,False,0.0,unverified,,,https://www.maddyness.com/2023/09/29/maddymoney-2914-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:37:28
Urban Canopee,1.87,,,,SEED,,False,0.0,unverified,,"amount, round_type",https://www.maddyness.com/entreprise/urban-canopee/,2025-03-11 21:37:28
Urban Canopee,1.87,,,,SEED,,False,0.0,unverified,,,https://www.maddyness.com/entreprise/urban-canopee/,2025-03-11 21:37:28
VerifyMy,6.6,,,,EARLY VC,,False,0.0,unverified,,,https://beamstart.com/news/verifymy-raises-5m-appoints-growth-16946788087522,2025-03-11 21:37:28
Bidrento,0.0,,,,SEED,,False,0.0,unverified,,,https://www.morganstanley.com/press-releases/morgan-stanley-expands-global-inclusive-ventures-lab,2025-03-11 21:37:28
SharpGrid,1.87,1.7,0.17000000000000015,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.sharpgrid.com/ontrade-insights-eng/press-release-sharpgrid-has-raised-over-1-7-million-eur,2025-03-11 21:37:28
Automated Architecture,0.0,,,,SEED,,False,0.0,unverified,,,https://www.morganstanley.com/press-releases/morgan-stanley-expands-global-inclusive-ventures-lab,2025-03-11 21:37:28
StudentCrowd,3.3,2.5,0.7999999999999998,24.24242424242424,SEED,Strategic Investment,False,0.0,unverified,,"amount, round_type",https://www.donews.com/news/detail/8/3707466.html,2025-03-11 21:37:28
TheCircle,2.31,,,,EARLY VC,,False,0.0,unverified,,,https://bebeez.it/wp-content/uploads/2023/10/CS-14_-THE-CIRCLE_ROUND-16-MILIONI-_DEFDEF1.pdf,2025-03-11 21:37:28
TheCircle,2.31,,,,EARLY VC,,False,0.0,unverified,,"amount, round_type",https://bebeez.it/wp-content/uploads/2023/10/CS-14_-THE-CIRCLE_ROUND-16-MILIONI-_DEFDEF1.pdf,2025-03-11 21:37:28
TheCircle,0.48554,2.1,1.61446,332.5081352720682,SEED,Not specified,False,0.0,unverified,,,https://bebeez.it/venture-capital/the-circle-coltivazione-acquaponica-incassa-round-da-21-mln-euro-guidato-da-opes-italia-partecipa-anche-sparviero-holding/,2025-03-11 21:37:28
TheCircle,0.48554,2.1,1.61446,332.5081352720682,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://bebeez.it/venture-capital/the-circle-coltivazione-acquaponica-incassa-round-da-21-mln-euro-guidato-da-opes-italia-partecipa-anche-sparviero-holding/,2025-03-11 21:37:28
Mintouge,2.5,2.5,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://bebeez.it/fintech/vaultik-incassa-round-da-25-mln-guidato-da-the-operating-group/,2025-03-11 21:37:28
Agora Robotics,0.0,,,,SEED,Accelerator program,False,0.0,unverified,,round_type,"https://www.romania-insider.com/orange-fab-six-startups-5g-call-oct-2023#:~:text=Agora%20Robotics%20is%20a%20deep,industrial%20robot%20for%20floor%20cleaning.",2025-03-11 21:37:28
COINSCAN,6.3,6.3,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://pulse2.com/coinscan-crypto-analytics-company-6-3-million/,2025-03-11 21:37:28
Fairmoove,6.05,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2023/,2025-03-11 21:37:28
Picnic Media Limited,1.3,1.25,0.050000000000000044,3.8461538461538494,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://www.linkedin.com/posts/picnic-io_picnic-raises-125m-to-support-ad-density-activity-7108382223459835904-Ojcf/?trk=public_profile_like_view,2025-03-11 21:37:28
Wheel of Work,2.2,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2023/,2025-03-11 21:37:28
Stellar Omada,5.94,4.5,1.4400000000000004,24.24242424242425,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://www.digit.fyi/stellar-omada-receives-4-5-million-investment-from-bgf/,2025-03-11 21:37:28
terralayr,22.0,4.3,17.7,80.45454545454545,LATE VC,Not specified,False,0.0,unverified,,"amount, round_type",https://www.deutsche-startups.de/2023/09/04/dealmonitor-terralayr-askui/,2025-03-11 21:37:28
Fractal Energy,2.2,2.0,0.20000000000000018,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://fractalenergy.io/particulier/news/1293/,2025-03-11 21:37:28
OneID,1.32,1.3,0.020000000000000018,1.5151515151515165,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.biometricupdate.com/202309/oneid-secures-1-3m-in-fresh-funding-to-expand-bank-verified-digital-id-services,2025-03-11 21:37:28
StreamForge,1.2,1.2,0.0,0.0,SEED,Seed,True,1.0,verified,"amount, round_type",,https://www.finsmes.com/2023/09/streamforge-raises-usd1-2m-in-seed-funding.html,2025-03-11 21:37:28
Mash Makes,12.5,12.5,0.0,0.0,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://www.linkedin.com/posts/mashmakes_2023-was-about-growth-and-learning-for-mash-activity-7157734346240528385-CPnx/,2025-03-11 21:37:28
Mash Makes,12.5,12.5,0.0,0.0,SERIES A,Not specified,False,0.0,unverified,,round_type,https://www.linkedin.com/posts/mashmakes_2023-was-about-growth-and-learning-for-mash-activity-7157734346240528385-CPnx/,2025-03-11 21:37:28
Mash Makes,0.5735,,,,SEED,Investment by DFDS (not specified as a specific funding round),False,0.5,unverified,amount,round_type,https://biofuels-news.com/news/ferry-operator-dfds-invests-in-biofuel-producer-mash-energy/,2025-03-11 21:37:28
Mash Makes,0.5735,,,,SEED,Investment by DFDS (not specified as a specific funding round),False,0.0,unverified,,round_type,https://biofuels-news.com/news/ferry-operator-dfds-invests-in-biofuel-producer-mash-energy/,2025-03-11 21:37:28
Malted AI,1.32,6.0,4.68,354.5454545454545,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://businesscloud.co.uk/news/6m-for-scottish-firm-shrinking-ai-into-small-language-models/,2025-03-11 21:37:28
AMPLY Discovery,0.02,,,,EARLY VC,Pre-accelerator/accelerator program,False,0.0,unverified,,round_type,https://www.techstars.com/newsroom/techstars-chicago-powered-by-j-p-morgan-announces-september-2023-class,2025-03-11 21:37:28
Redag Crop Protection,2.112,1.6,0.512,24.242424242424242,EARLY VC,Equity fundraising,False,0.0,unverified,,"amount, round_type",https://www.acceleris.com/news-resources/redag-crop-protection-secures-ps1-6m-of-growth-capital-in-fight-to-support-global-food-security,2025-03-11 21:37:28
Kin,1.1,,,,SEED,,False,0.0,unverified,,,https://kapwatch.dk/article16388777.ece,2025-03-11 21:37:28
Quantl AI,1.2,,,,SEED,,False,0.0,unverified,,,https://citywire.com/middle-east/news/former-ceo-of-iam-bets-big-on-ai-in-trading-digital-assets,2025-03-11 21:37:28
Periphery,0.02,,,,SEED,,False,0.0,unverified,,,https://www.techstars.com/newsroom/techstars-london-accelerator-announces-fall-class-of-2023,2025-03-11 21:37:28
